team_home,score,team_back,datetime
                Genova Griffins,                    1 - 1,                Verona Wanderers,2020-04-28 19:02:00
                Fiorentina Purples,                    2 - 1,                Calcio Canaries,2020-04-28 19:05:00
                Blucerchiati,                    1 - 1,                Nerazzurri FC,2020-04-28 19:08:00
                Giallorossi FC,                    1 - 1,                Valencia Juniors,2020-04-28 19:11:00
                Munich,                    2 - 2,                Dynamo Whites,2020-04-28 19:14:00
                Villanova Stripes,                    2 - 1,                Turin,2020-04-28 19:17:00
                Udine Utd,                    0 - 1,                Nerazzurri FC,2020-04-28 19:20:00
                Belgium Buffalos,                    2 - 0,                Chelsea Pensioners,2020-04-28 19:23:00
                PSV Peasants,                    0 - 1,                Belgium Buffalos,2020-04-28 19:26:00
                Maccabi Stars,                    2 - 0,                PSV Peasants,2020-04-28 19:29:00
                Mersey Blues,                    1 - 1,                Manchester Blues,2020-04-28 19:32:00
                Nerazzurri FC,                    2 - 0,                Verona Wanderers,2020-04-28 19:35:00
                Chelsea Pensioners,                    3 - 1,                Newcastle AFC,2020-04-28 19:38:00
                Villanova Stripes,                    0 - 1,                Udine Utd,2020-04-28 19:41:00
                Saxon Wolves,                    4 - 0,                Galataistanbul,2020-04-28 19:44:00
                East End Utd,                    1 - 0,                Sunderland Cats,2020-04-28 19:47:00
                Manchester Reds,                    0 - 0,                Turin,2020-04-28 19:50:00
                Valencia Juniors,                    0 - 0,                Leverkusen,2020-04-28 19:53:00
                Paris City,                    0 - 1,                Madrid Lightning,2020-04-28 19:56:00
                Valencia Juniors,                    0 - 2,                Maccabi Stars,2020-04-28 19:59:00
                Manchester Reds,                    1 - 2,                Liverpool Stars,2020-04-28 20:02:00
                The Cherries,                    0 - 2,                Chelsea Pensioners,2020-04-28 20:05:00
                Udine Utd,                    2 - 0,                Palermo Town,2020-04-28 20:08:00
                Napoli Blues,                    2 - 0,                Milan Reds,2020-04-28 20:11:00
                Sevilla Tower,                    2 - 0,                Turin,2020-04-28 20:14:00
                Villanova Stripes,                    0 - 1,                Empoli Farmers,2020-04-28 20:17:00
                Madrid Lightning,                    3 - 1,                Giallorossi FC,2020-04-28 20:20:00
                Valencia Juniors,                    1 - 1,                Donetsk Arrows,2020-04-28 20:23:00
                Kazakh Stripes,                    0 - 2,                Manchester Blues,2020-04-28 20:26:00
                Verona Wanderers,                    0 - 0,                Empoli Farmers,2020-04-28 20:29:00
                Chelsea Pensioners,                    2 - 0,                London Whites,2020-04-28 20:32:00
                Stoke Utd,                    0 - 0,                Liverpool Stars,2020-04-28 20:35:00
                Donetsk Arrows,                    1 - 2,                Paris City,2020-04-28 20:38:00
                Belgium Buffalos,                    2 - 1,                Madrid Juniors,2020-04-28 20:41:00
                The Cherries,                    0 - 0,                Norwich Canaries,2020-04-28 20:44:00
                Genova Griffins,                    1 - 3,                Empoli Farmers,2020-04-28 20:47:00
                CSKA Russia,                    1 - 0,                Porto Flames,2020-04-28 20:50:00
                Palace Eagles,                    2 - 0,                Leicester Utd,2020-04-28 20:53:00
                Malmo Sky Blues,                    3 - 0,                Lisbon Reds,2020-04-28 20:56:00
                Giallorossi FC,                    1 - 1,                Roma County,2020-04-28 20:59:00
                CSKA Russia,                    3 - 1,                Galataistanbul,2020-04-28 21:02:00
                Napoli Blues,                    0 - 3,                Villanova Stripes,2020-04-28 21:05:00
                Chelsea Pensioners,                    1 - 0,                Manchester Reds,2020-04-28 21:08:00
                Manchester Blues,                    2 - 2,                Valencia Juniors,2020-04-28 21:11:00
                PSV Peasants,                    1 - 2,                Borussia Foals,2020-04-28 21:14:00
                Verona Wanderers,                    1 - 3,                Roma County,2020-04-28 21:17:00
                Olympique Juniors,                    3 - 0,                St Petersburg,2020-04-28 21:20:00
                Turin,                    4 - 0,                Empoli Farmers,2020-04-28 21:23:00
                Calcio Canaries,                    1 - 2,                Verona Wanderers,2020-04-28 21:26:00
                Milan Reds,                    3 - 0,                Giallorossi FC,2020-04-28 21:29:00
                Blucerchiati,                    1 - 2,                Torino Bulls,2020-04-28 21:32:00
                Nerazzurri FC,                    1 - 1,                Napoli Blues,2020-04-28 21:35:00
                Mersey Blues,                    1 - 1,                WBA Baggies,2020-04-28 21:38:00
                Maccabi Stars,                    2 - 2,                Dynamo Whites,2020-04-28 21:41:00
                Chelsea Pensioners,                    1 - 0,                Maccabi Stars,2020-04-28 21:44:00
                Malmo Sky Blues,                    1 - 0,                Dynamo Whites,2020-04-28 21:47:00
                Leicester Utd,                    1 - 3,                East End Utd,2020-04-28 21:50:00
                Empoli Farmers,                    3 - 1,                Genova Griffins,2020-04-28 21:53:00
                The Cherries,                    1 - 2,                Newcastle AFC,2020-04-28 21:56:00
                Olympique Juniors,                    1 - 0,                Barcelona Braves,2020-04-28 21:59:00
                Giallorossi FC,                    0 - 1,                Paris City,2020-04-28 22:02:00
                Manchester Reds,                    2 - 0,                Sunderland Cats,2020-04-28 22:05:00
                Olympique Juniors,                    1 - 2,                Galataistanbul,2020-04-28 22:08:00
                Villanova Stripes,                    0 - 4,                Roma County,2020-04-28 22:11:00
                Villanova Stripes,                    2 - 2,                Bergamo Rangers,2020-04-28 22:14:00
                Liverpool Stars,                    3 - 0,                Palace Eagles,2020-04-28 22:17:00
                Leicester Utd,                    2 - 0,                The Cherries,2020-04-28 22:20:00
                Giallorossi FC,                    0 - 0,                Verona City,2020-04-28 22:23:00
                Palace Eagles,                    2 - 1,                Aston City,2020-04-28 22:26:00
                Palermo Town,                    0 - 2,                Milan Reds,2020-04-28 22:29:00
                South Saints,                    1 - 0,                Palace Eagles,2020-04-28 22:32:00
                Fiorentina Purples,                    0 - 3,                Turin,2020-04-28 22:35:00
                Manchester Reds,                    1 - 0,                Porto Flames,2020-04-28 22:38:00
                Biancorossi,                    1 - 3,                Roma County,2020-04-28 22:41:00
                Madrid Lightning,                    2 - 0,                Borussia Foals,2020-04-28 22:44:00
                Giallorossi FC,                    1 - 1,                Manchester Reds,2020-04-28 22:47:00
                PSV Peasants,                    2 - 0,                Olympique Juniors,2020-04-28 22:50:00
                Leverkusen,                    0 - 0,                Barcelona Braves,2020-04-28 22:53:00
                Torino Bulls,                    1 - 1,                Biancorossi,2020-04-28 22:56:00
                Giallorossi FC,                    1 - 0,                Palermo Town,2020-04-28 22:59:00
                Leicester Utd,                    1 - 3,                Watford Hornets,2020-04-28 23:02:00
                Chelsea Pensioners,                    1 - 0,                Olympic Athens,2020-04-28 23:05:00
                Munich,                    2 - 1,                Maccabi Stars,2020-04-28 23:08:00
                Belgium Buffalos,                    0 - 0,                Dynamo Whites,2020-04-28 23:11:00
                Villanova Stripes,                    1 - 1,                Verona City,2020-04-28 23:26:00
                Palace Eagles,                    2 - 0,                The Cherries,2020-04-28 23:29:00
                PSV Peasants,                    2 - 1,                Chelsea Pensioners,2020-04-28 23:32:00
                Manchester Blues,                    1 - 0,                Leicester Utd,2020-04-28 23:35:00
                Chelsea Pensioners,                    3 - 1,                Islington Reds,2020-04-28 23:38:00
                CSKA Russia,                    1 - 0,                Saxon Wolves,2020-04-28 23:41:00
                Lisbon Reds,                    1 - 2,                Sevilla Tower,2020-04-28 23:44:00
                Stoke Utd,                    0 - 3,                East End Utd,2020-04-28 23:47:00
                East End Utd,                    1 - 0,                London Whites,2020-04-28 23:50:00
                Fiorentina Purples,                    0 - 1,                Torino Bulls,2020-04-28 23:53:00
                WBA Baggies,                    1 - 1,                The Cherries,2020-04-28 23:56:00
                Swansea Jacks,                    1 - 0,                Watford Hornets,2020-04-28 23:59:00
                Islington Reds,                    3 - 0,                Swansea Jacks,2020-04-29 00:02:00
                Roma County,                    3 - 0,                Verona City,2020-04-29 00:05:00
                Empoli Farmers,                    3 - 0,                Roma County,2020-04-29 00:08:00
                Villanova Stripes,                    2 - 0,                Torino Bulls,2020-04-29 00:11:00
                Barcelona Braves,                    2 - 0,                Borussia Foals,2020-04-29 00:14:00
                Belgium Buffalos,                    0 - 0,                Olympique Juniors,2020-04-29 00:17:00
                Sunderland Cats,                    2 - 2,                Manchester Blues,2020-04-29 00:20:00
                CSKA Russia,                    1 - 1,                Porto Flames,2020-04-29 00:23:00
                Milan Reds,                    0 - 1,                Turin,2020-04-29 00:26:00
                Olympique Juniors,                    0 - 3,                Chelsea Pensioners,2020-04-29 00:29:00
                Munich,                    0 - 1,                PSV Peasants,2020-04-29 00:32:00
                Giallorossi FC,                    1 - 0,                Sassuolo Villa,2020-04-29 00:35:00
                Galataistanbul,                    1 - 2,                Donetsk Arrows,2020-04-29 00:38:00
                London Whites,                    0 - 0,                Newcastle AFC,2020-04-29 00:41:00
                Islington Reds,                    1 - 2,                PSV Peasants,2020-04-29 00:44:00
                Sevilla Tower,                    3 - 0,                Leverkusen,2020-04-29 00:47:00
                Norwich Canaries,                    1 - 2,                Palace Eagles,2020-04-29 00:50:00
                Palermo Town,                    1 - 3,                Nerazzurri FC,2020-04-29 00:53:00
                Nerazzurri FC,                    4 - 0,                Villanova Stripes,2020-04-29 00:56:00
                Swansea Jacks,                    1 - 0,                Stoke Utd,2020-04-29 00:59:00
                Chelsea Pensioners,                    2 - 0,                Watford Hornets,2020-04-29 01:02:00
                Madrid Lightning,                    2 - 1,                Barcelona Braves,2020-04-29 01:05:00
                Madrid Juniors,                    1 - 2,                Giallorossi FC,2020-04-29 01:08:00
                Leicester Utd,                    2 - 2,                WBA Baggies,2020-04-29 01:11:00
                Leverkusen,                    1 - 3,                PSV Peasants,2020-04-29 01:14:00
                Donetsk Arrows,                    1 - 3,                Turin,2020-04-29 01:17:00
                Milan Reds,                    0 - 0,                Biancorossi,2020-04-29 01:20:00
                Verona Wanderers,                    0 - 0,                Blucerchiati,2020-04-29 01:23:00
                Turin,                    2 - 0,                Torino Bulls,2020-04-29 01:26:00
                Calcio Canaries,                    1 - 0,                Napoli Blues,2020-04-29 01:29:00
                Aston City,                    0 - 1,                Manchester Blues,2020-04-29 01:32:00
                Biancorossi,                    2 - 0,                Empoli Farmers,2020-04-29 01:35:00
                Borussia Foals,                    2 - 0,                Maccabi Stars,2020-04-29 01:38:00
                Milan Reds,                    3 - 0,                Roma County,2020-04-29 01:41:00
                Valencia Juniors,                    0 - 0,                Barysaw Yellows,2020-04-29 01:44:00
                Watford Hornets,                    1 - 2,                Manchester Reds,2020-04-29 01:47:00
                Valencia Juniors,                    0 - 1,                Porto Flames,2020-04-29 01:50:00
                Roma County,                    1 - 1,                Napoli Blues,2020-04-29 01:53:00
                Giallorossi FC,                    2 - 0,                Palermo Town,2020-04-29 01:56:00
                Liverpool Stars,                    1 - 3,                Manchester Reds,2020-04-29 01:59:00
                Watford Hornets,                    1 - 2,                WBA Baggies,2020-04-29 02:02:00
                Donetsk Arrows,                    1 - 0,                Olympic Athens,2020-04-29 02:05:00
                Bergamo Rangers,                    2 - 0,                Biancorossi,2020-04-29 02:08:00
                Galataistanbul,                    1 - 1,                Zagreb,2020-04-29 02:11:00
                Aston City,                    2 - 2,                Stoke Utd,2020-04-29 02:14:00
                Verona City,                    0 - 3,                Empoli Farmers,2020-04-29 02:17:00
                Olympic Athens,                    0 - 0,                Lisbon Reds,2020-04-29 02:20:00
                Verona City,                    1 - 3,                Udine Utd,2020-04-29 02:23:00
                East End Utd,                    3 - 0,                Chelsea Pensioners,2020-04-29 02:26:00
                Sevilla Tower,                    0 - 0,                Manchester Reds,2020-04-29 02:29:00
                Manchester Blues,                    1 - 1,                Porto Flames,2020-04-29 02:32:00
                Sevilla Tower,                    0 - 1,                Islington Reds,2020-04-29 02:35:00
                Olympic Athens,                    1 - 2,                Zagreb,2020-04-29 02:38:00
                Newcastle AFC,                    1 - 1,                Swansea Jacks,2020-04-29 02:41:00
                Manchester Blues,                    1 - 1,                Manchester Reds,2020-04-29 02:44:00
                Roma County,                    0 - 0,                Fiorentina Purples,2020-04-29 02:47:00
                Turin,                    1 - 1,                Galataistanbul,2020-04-29 02:50:00
                Leicester Utd,                    1 - 3,                South Saints,2020-04-29 02:53:00
                Chelsea Pensioners,                    1 - 0,                Borussia Foals,2020-04-29 02:56:00
                Napoli Blues,                    2 - 0,                Villanova Stripes,2020-04-29 02:59:00
                Malmo Sky Blues,                    1 - 0,                Manchester Reds,2020-04-29 03:02:00
                Fiorentina Purples,                    2 - 2,                Biancorossi,2020-04-29 03:05:00
                Udine Utd,                    1 - 2,                Sassuolo Villa,2020-04-29 03:08:00
                Newcastle AFC,                    2 - 2,                Norwich Canaries,2020-04-29 03:11:00
                Dynamo Whites,                    3 - 0,                Leverkusen,2020-04-29 03:14:00
                Kazakh Stripes,                    3 - 0,                Olympic Athens,2020-04-29 03:17:00
                Saxon Wolves,                    2 - 1,                Turin,2020-04-29 03:20:00
                Udine Utd,                    0 - 2,                Verona Wanderers,2020-04-29 03:23:00
                Palace Eagles,                    1 - 0,                South Saints,2020-04-29 03:26:00
                Madrid Juniors,                    3 - 1,                Donetsk Arrows,2020-04-29 03:29:00
                Nerazzurri FC,                    2 - 2,                Milan Reds,2020-04-29 03:32:00
                Giallorossi FC,                    2 - 0,                Empoli Farmers,2020-04-29 03:35:00
                Turin,                    1 - 0,                Genova Griffins,2020-04-29 03:38:00
                Giallorossi FC,                    2 - 0,                Calcio Canaries,2020-04-29 03:41:00
                Watford Hornets,                    0 - 0,                Sunderland Cats,2020-04-29 03:44:00
                WBA Baggies,                    0 - 1,                Newcastle AFC,2020-04-29 03:47:00
                Zagreb,                    0 - 4,                Barcelona Braves,2020-04-29 03:50:00
                Biancorossi,                    0 - 1,                Torino Bulls,2020-04-29 03:53:00
                Nerazzurri FC,                    2 - 0,                Empoli Farmers,2020-04-29 03:56:00
                Giallorossi FC,                    1 - 1,                Torino Bulls,2020-04-29 03:59:00
                Roma County,                    1 - 0,                Genova Griffins,2020-04-29 04:02:00
                Torino Bulls,                    4 - 0,                Giallorossi FC,2020-04-29 04:05:00
                Sunderland Cats,                    0 - 0,                Liverpool Stars,2020-04-29 04:08:00
                Blucerchiati,                    0 - 0,                Nerazzurri FC,2020-04-29 04:11:00
                Udine Utd,                    1 - 1,                Villanova Stripes,2020-04-29 04:14:00
                Empoli Farmers,                    1 - 0,                Verona Wanderers,2020-04-29 04:17:00
                East End Utd,                    1 - 2,                Swansea Jacks,2020-04-29 04:20:00
                Genova Griffins,                    0 - 1,                Sassuolo Villa,2020-04-29 04:23:00
                Verona Wanderers,                    2 - 1,                Villanova Stripes,2020-04-29 04:26:00
                Villanova Stripes,                    0 - 3,                Milan Reds,2020-04-29 04:29:00
                Norwich Canaries,                    0 - 1,                East End Utd,2020-04-29 04:32:00
                Liverpool Stars,                    2 - 1,                Norwich Canaries,2020-04-29 04:35:00
                Giallorossi FC,                    1 - 1,                Biancorossi,2020-04-29 04:38:00
                Leicester Utd,                    2 - 2,                The Cherries,2020-04-29 04:41:00
                Islington Reds,                    3 - 1,                Donetsk Arrows,2020-04-29 04:44:00
                Manchester Blues,                    2 - 1,                Norwich Canaries,2020-04-29 04:47:00
                Sassuolo Villa,                    0 - 2,                Nerazzurri FC,2020-04-29 04:50:00
                Manchester Reds,                    4 - 0,                Mersey Blues,2020-04-29 04:53:00
                PSV Peasants,                    0 - 3,                Manchester Reds,2020-04-29 04:56:00
                South Saints,                    1 - 0,                Aston City,2020-04-29 04:59:00
                Aston City,                    0 - 1,                Chelsea Pensioners,2020-04-29 05:02:00
                Lisbon Reds,                    1 - 2,                Saxon Wolves,2020-04-29 05:05:00
                PSV Peasants,                    1 - 0,                Giallorossi FC,2020-04-29 05:08:00
                Calcio Canaries,                    0 - 2,                Milan Reds,2020-04-29 05:11:00
                Empoli Farmers,                    0 - 1,                Torino Bulls,2020-04-29 05:14:00
                Biancorossi,                    2 - 0,                Fiorentina Purples,2020-04-29 05:17:00
                Newcastle AFC,                    1 - 0,                Aston City,2020-04-29 05:20:00
                Villanova Stripes,                    2 - 2,                Biancorossi,2020-04-29 05:23:00
                South Saints,                    0 - 3,                London Whites,2020-04-29 05:26:00
                Manchester Blues,                    1 - 0,                Borussia Foals,2020-04-29 05:29:00
                Stoke Utd,                    1 - 1,                Norwich Canaries,2020-04-29 05:32:00
                Fiorentina Purples,                    1 - 2,                Verona City,2020-04-29 05:35:00
                Malmo Sky Blues,                    1 - 2,                Olympic Athens,2020-04-29 05:38:00
                Dynamo Whites,                    0 - 0,                Chelsea Pensioners,2020-04-29 05:41:00
                St Petersburg,                    1 - 1,                Barcelona Braves,2020-04-29 05:44:00
                Olympic Athens,                    1 - 2,                St Petersburg,2020-04-29 05:47:00
                Giallorossi FC,                    1 - 2,                Genova Griffins,2020-04-29 05:50:00
                Nerazzurri FC,                    1 - 1,                Udine Utd,2020-04-29 05:53:00
                Madrid Juniors,                    2 - 0,                CSKA Russia,2020-04-29 05:56:00
                Swansea Jacks,                    1 - 0,                Norwich Canaries,2020-04-29 05:59:00
                Swansea Jacks,                    1 - 0,                Norwich Canaries,2020-04-29 05:59:00
                Palermo Town,                    1 - 0,                Empoli Farmers,2020-04-29 06:02:00
                Turin,                    2 - 1,                Giallorossi FC,2020-04-29 06:05:00
                Lisbon Reds,                    1 - 2,                Giallorossi FC,2020-04-29 06:08:00
                Kazakh Stripes,                    1 - 1,                Valencia Juniors,2020-04-29 06:11:00
                London Whites,                    1 - 2,                Palace Eagles,2020-04-29 06:14:00
                Borussia Foals,                    1 - 2,                Barysaw Yellows,2020-04-29 06:17:00
                Giallorossi FC,                    0 - 0,                Madrid Juniors,2020-04-29 06:20:00
                CSKA Russia,                    0 - 1,                Barcelona Braves,2020-04-29 06:23:00
                PSV Peasants,                    0 - 0,                Lisbon Reds,2020-04-29 06:26:00
                London Whites,                    0 - 1,                Liverpool Stars,2020-04-29 06:29:00
                Leverkusen,                    0 - 0,                Islington Reds,2020-04-29 06:32:00
                Nerazzurri FC,                    2 - 0,                Roma County,2020-04-29 06:35:00
                Manchester Reds,                    1 - 3,                Manchester Blues,2020-04-29 06:38:00
                Empoli Farmers,                    3 - 1,                Palermo Town,2020-04-29 06:41:00
                Valencia Juniors,                    0 - 1,                Chelsea Pensioners,2020-04-29 06:44:00
                Sassuolo Villa,                    1 - 1,                Napoli Blues,2020-04-29 06:47:00
                Verona Wanderers,                    2 - 1,                Nerazzurri FC,2020-04-29 06:50:00
                Galataistanbul,                    0 - 2,                Leverkusen,2020-04-29 06:53:00
                Manchester Blues,                    2 - 2,                Kazakh Stripes,2020-04-29 06:56:00
                The Cherries,                    2 - 2,                Norwich Canaries,2020-04-29 06:59:00
                Mersey Blues,                    3 - 1,                Palace Eagles,2020-04-29 07:02:00
                Islington Reds,                    1 - 0,                WBA Baggies,2020-04-29 07:05:00
                Chelsea Pensioners,                    2 - 0,                The Cherries,2020-04-29 07:08:00
                Milan Reds,                    3 - 1,                Palermo Town,2020-04-29 07:11:00
Verona Wanderers,3 - 0,Bergamo Rangers,2020-04-29 07:14:00
Verona Wanderers,1 - 0,Biancorossi,2020-04-29 07:17:00
Leverkusen,1 - 1,Olympique Juniors,2020-04-29 07:20:00
Liverpool Stars,0 - 1,South Saints,2020-04-29 07:23:00
Napoli Blues,0 - 1,Fiorentina Purples,2020-04-29 07:26:00
Munich,1 - 0,St Petersburg,2020-04-29 07:29:00
Sassuolo Villa,2 - 0,Torino Bulls,2020-04-29 07:32:00
Islington Reds,0 - 2,Leicester Utd,2020-04-29 07:35:00
Islington Reds,1 - 1,Paris City,2020-04-29 07:38:00
Napoli Blues,0 - 2,Milan Reds,2020-04-29 07:41:00
Islington Reds,1 - 0,East End Utd,2020-04-29 07:44:00
South Saints,2 - 0,Sunderland Cats,2020-04-29 07:47:00
Manchester Blues,1 - 1,East End Utd,2020-04-29 07:50:00
Mersey Blues,1 - 0,Liverpool Stars,2020-04-29 07:53:00
Watford Hornets,1 - 2,Stoke Utd,2020-04-29 07:56:00
Milan Reds,2 - 0,Verona Wanderers,2020-04-29 07:59:00
Manchester Blues,1 - 0,Swansea Jacks,2020-04-29 08:02:00
East End Utd,2 - 2,Sunderland Cats,2020-04-29 08:05:00
Islington Reds,1 - 2,The Cherries,2020-04-29 08:08:00
Palermo Town,3 - 1,Villanova Stripes,2020-04-29 08:11:00
Milan Reds,0 - 0,Biancorossi,2020-04-29 08:14:00
Galataistanbul,2 - 0,St Petersburg,2020-04-29 08:17:00
Watford Hornets,1 - 3,East End Utd,2020-04-29 08:20:00
Leicester Utd,0 - 1,Islington Reds,2020-04-29 08:23:00
Norwich Canaries,1 - 1,Aston City,2020-04-29 08:26:00
Bergamo Rangers,2 - 2,Torino Bulls,2020-04-29 08:29:00
Palermo Town,1 - 0,Torino Bulls,2020-04-29 08:32:00
Bergamo Rangers,1 - 2,Verona Wanderers,2020-04-29 08:35:00
St Petersburg,0 - 2,Leverkusen,2020-04-29 08:38:00
Giallorossi FC,1 - 0,CSKA Russia,2020-04-29 08:41:00
Saxon Wolves,2 - 0,Dynamo Whites,2020-04-29 08:44:00
Sevilla Tower,1 - 2,Valencia Juniors,2020-04-29 08:47:00
Roma County,1 - 0,Sassuolo Villa,2020-04-29 08:50:00
Turin,1 - 0,Olympic Athens,2020-04-29 08:53:00
WBA Baggies,1 - 0,Mersey Blues,2020-04-29 08:56:00
Galataistanbul,0 - 0,Madrid Lightning,2020-04-29 08:59:00
Sevilla Tower,2 - 1,Belgium Buffalos,2020-04-29 09:02:00
Munich,1 - 0,Olympic Athens,2020-04-29 09:05:00
Barysaw Yellows,0 - 1,Donetsk Arrows,2020-04-29 09:08:00
Genova Griffins,0 - 3,Fiorentina Purples,2020-04-29 09:11:00
South Saints,1 - 1,Manchester Reds,2020-04-29 09:14:00
Belgium Buffalos,2 - 1,Valencia Juniors,2020-04-29 09:17:00
Verona City,1 - 1,Fiorentina Purples,2020-04-29 09:20:00
Stoke Utd,0 - 0,Mersey Blues,2020-04-29 09:23:00
Sassuolo Villa,0 - 1,Calcio Canaries,2020-04-29 09:26:00
Palace Eagles,2 - 0,Newcastle AFC,2020-04-29 09:29:00
Islington Reds,0 - 1,Manchester Reds,2020-04-29 09:32:00
Zagreb,2 - 1,Lisbon Reds,2020-04-29 09:35:00
South Saints,1 - 1,Islington Reds,2020-04-29 09:38:00
Sunderland Cats,0 - 0,WBA Baggies,2020-04-29 09:41:00
